candidate,arm,tau_0.01,tau_0.02,tau_0.03,tau_0.05,tau_0.075,tau_0.1,tau_0.125,tau_0.15,tau_0.2,tau_0.25,tau_0.3,tau_0.375,tau_0.45,tau_0.55,tau_0.65,tau_0.75,tau_0.85,tau_1
"('Crazytales', '2007')",support,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,13.0,14.0,18.0,22.0,26.0,30.0,36.0,40.0,45.0
"('Cremepuff222', '2007')",support,1.0,2.0,3.0,4.0,6.0,8.0,11.0,13.0,17.0,20.0,25.0,31.0,37.0,45.0,53.0,62.0,70.0,83.0
"('Crum375', '2007')",support,1.0,2.0,3.0,4.0,7.0,9.0,11.0,14.0,17.0,20.0,25.0,31.0,37.0,47.0,55.0,65.0,73.0,86.0
"('Cuchullain', '2007')",support,1.0,1.0,2.0,2.0,4.0,5.0,7.0,8.0,11.0,15.0,18.0,22.0,27.0,33.0,39.0,44.0,51.0,60.0
"('Danaman5', '2007')",support,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,6.0,7.0,8.0,10.0,12.0,14.0,17.0,19.0,23.0,26.0
"('Daniel Case', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,9.0,11.0,13.0,16.0,20.0,21.0,26.0,31.0,34.0,40.0
"('DanMS', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0,14.0,17.0,21.0,25.0,28.0,32.0,38.0
"('DarkFalls', '2007')",support,1.0,1.0,2.0,4.0,5.0,7.0,8.0,10.0,14.0,17.0,21.0,26.0,32.0,39.0,46.0,53.0,59.0,69.0
"('Darthgriz98', '2007')",support,1.0,1.0,2.0,2.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,19.0,22.0,28.0,32.0,38.0,42.0,50.0
"('Davewild', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,11.0,14.0,17.0,20.0,24.0,28.0,31.0,37.0
"('David D.', '2007')",support,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,13.0,16.0,20.0,23.0,29.0,34.0,39.0,44.0,52.0
"('David Eppstein', '2007')",support,1.0,2.0,3.0,4.0,6.0,8.0,11.0,13.0,17.0,21.0,26.0,32.0,38.0,47.0,55.0,64.0,72.0,85.0
"('David Fuchs', '2007')",support,1.0,1.0,2.0,3.0,5.0,6.0,8.0,10.0,13.0,16.0,19.0,24.0,29.0,35.0,42.0,48.0,54.0,64.0
"('Dekimasu', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,9.0,11.0,13.0,16.0,19.0,24.0,28.0,32.0,37.0,43.0
"('Delldot', '2007')",support,1.0,1.0,2.0,3.0,5.0,6.0,8.0,9.0,12.0,16.0,19.0,23.0,28.0,34.0,40.0,46.0,53.0,62.0
"('DerHexer', '2007')",support,1.0,2.0,4.0,6.0,9.0,12.0,15.0,18.0,24.0,30.0,36.0,44.0,52.0,61.0,73.0,83.0,94.0,107.0
"('Deryck Chan', '2007')",support,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,10.0,12.0,14.0,18.0,22.0,26.0,29.0,33.0,38.0,45.0
"('Dfrg.msc', '2007')",support,2.0,3.0,5.0,8.0,12.0,15.0,18.0,22.0,29.0,32.0,35.0,37.0,41.0,57.0,74.0,89.0,106.0,130.0
"('DGG', '2007')",support,1.0,2.0,3.0,6.0,8.0,11.0,13.0,16.0,21.0,27.0,33.0,41.0,49.0,60.0,71.0,82.0,93.0,110.0
"('Dgies', '2007')",support,1.0,2.0,2.0,4.0,6.0,7.0,9.0,11.0,14.0,18.0,22.0,28.0,34.0,41.0,49.0,57.0,64.0,75.0
"('Dlohcierekim', '2007')",support,1.0,2.0,2.0,4.0,6.0,8.0,10.0,12.0,15.0,19.0,22.0,27.0,32.0,40.0,47.0,54.0,61.0,72.0
"('DMacks', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,18.0,21.0,25.0,29.0,33.0,39.0
"('DO11.10', '2007')",support,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,10.0,12.0,14.0,18.0,22.0,26.0,31.0,36.0,41.0,47.0
"('DoomsDay349', '2007')",support,1.0,1.0,2.0,2.0,3.0,4.0,4.0,6.0,8.0,9.0,12.0,14.0,18.0,22.0,25.0,27.0,32.0,40.0
"('Dppowell', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,6.0,6.0,8.0,9.0,12.0,14.0,17.0,22.0,25.0,27.0,30.0,36.0
"('Dreadstar', '2007')",support,1.0,1.0,2.0,3.0,5.0,7.0,9.0,10.0,14.0,17.0,21.0,24.0,27.0,30.0,36.0,41.0,46.0,54.0
"('DrKiernan', '2007')",support,0.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,8.0,12.0,16.0,22.0,28.0,35.0,45.0,54.0,63.0,73.0
"('Dweller', '2007')",support,1.0,2.0,3.0,5.0,8.0,11.0,13.0,16.0,21.0,27.0,32.0,40.0,48.0,59.0,70.0,80.0,91.0,107.0
"('E', '2007')",support,1.0,2.0,3.0,6.0,8.0,10.0,11.0,12.0,18.0,20.0,24.0,28.0,37.0,53.0,67.0,79.0,90.0,104.0
"('east718', '2007')",support,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,12.0,14.0,17.0,22.0,26.0,32.0,38.0,44.0,49.0,56.0
"('Edison', '2007')",support,1.0,1.0,2.0,3.0,4.0,6.0,8.0,9.0,12.0,15.0,18.0,22.0,27.0,33.0,39.0,45.0,51.0,60.0
"('Edokter', '2007')",support,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,7.0,8.0,9.0,12.0,14.0,17.0,19.0,23.0,26.0
"('Eleassar', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0,14.0,17.0,21.0,25.0,28.0,32.0,38.0
"('EliminatorJR', '2007')",support,1.0,1.0,2.0,3.0,5.0,6.0,8.0,9.0,13.0,16.0,19.0,24.0,28.0,34.0,40.0,45.0,50.0,58.0
"('ElinorD', '2007')",support,1.0,2.0,3.0,5.0,8.0,11.0,14.0,16.0,22.0,27.0,33.0,41.0,49.0,60.0,70.0,81.0,92.0,108.0
"('Eliz81', '2007')",support,1.0,1.0,2.0,3.0,5.0,6.0,8.0,9.0,12.0,15.0,18.0,23.0,27.0,34.0,40.0,46.0,52.0,61.0
"('Elkman', '2007')",support,1.0,1.0,2.0,3.0,5.0,6.0,8.0,10.0,13.0,16.0,19.0,24.0,29.0,35.0,42.0,47.0,52.0,61.0
"('Elonka', '2007')",support,4.0,8.0,13.0,23.0,34.0,44.0,55.0,65.0,80.0,90.0,103.0,126.0,148.0,183.0,226.0,263.0,292.0,333.0
"('Eluchil404', '2007')",support,1.0,1.0,2.0,3.0,5.0,5.0,6.0,7.0,10.0,13.0,16.0,20.0,25.0,31.0,37.0,43.0,50.0,58.0
"('Emperor', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,7.0,9.0,10.0,13.0,16.0,19.0,23.0,25.0,29.0,34.0
"('EncycloPetey', '2007')",support,1.0,1.0,2.0,3.0,4.0,5.0,7.0,8.0,11.0,14.0,16.0,19.0,23.0,29.0,34.0,39.0,45.0,53.0
"('Ericorbit', '2007')",support,1.0,1.0,2.0,4.0,5.0,7.0,9.0,11.0,14.0,17.0,19.0,25.0,29.0,33.0,35.0,39.0,45.0,51.0
"('Espresso Addict', '2007')",support,1.0,1.0,2.0,3.0,5.0,6.0,8.0,9.0,12.0,15.0,18.0,23.0,27.0,33.0,39.0,45.0,51.0,60.0
"('Esprit15d', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,11.0,13.0,16.0,20.0,23.0,28.0,32.0,36.0,43.0
"('Ev', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,17.0,20.0,24.0,28.0,32.0,37.0
"('Evilclown93', '2007')",support,1.0,2.0,2.0,4.0,6.0,8.0,10.0,12.0,16.0,20.0,25.0,31.0,37.0,45.0,53.0,62.0,68.0,76.0
"('Eyrian', '2007')",support,1.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,8.0,9.0,11.0,14.0,16.0,20.0,24.0,29.0,32.0,39.0
"('Fabrictramp', '2007')",support,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,13.0,16.0,20.0,23.0,29.0,33.0,38.0,42.0,50.0
"('Faithlessthewonderboy', '2007')",support,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,12.0,14.0,17.0,21.0,25.0,30.0,36.0,40.0,45.0,53.0
"('Feydey', '2007')",support,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,13.0,16.0,20.0,23.0,28.0,32.0,35.0,39.0,46.0
"('FisherQueen', '2007')",support,1.0,2.0,2.0,3.0,5.0,5.0,5.0,6.0,7.0,9.0,14.0,23.0,32.0,45.0,57.0,68.0,80.0,98.0
"('Fishhead64', '2007')",support,1.0,1.0,2.0,3.0,4.0,4.0,5.0,7.0,9.0,11.0,14.0,18.0,21.0,27.0,31.0,36.0,41.0,47.0
"('Flyguy649', '2007')",support,1.0,2.0,3.0,4.0,7.0,9.0,11.0,13.0,18.0,22.0,27.0,33.0,40.0,49.0,58.0,67.0,76.0,89.0
"('Fram', '2007')",support,1.0,1.0,2.0,3.0,4.0,5.0,7.0,8.0,11.0,14.0,16.0,20.0,24.0,30.0,35.0,40.0,46.0,54.0
"('FT2', '2007')",support,1.0,1.0,2.0,3.0,5.0,7.0,9.0,10.0,14.0,17.0,21.0,26.0,31.0,38.0,43.0,45.0,50.0,54.0
"('Fuhghettaboutit', '2007')",support,1.0,2.0,2.0,4.0,6.0,8.0,10.0,12.0,15.0,19.0,23.0,29.0,34.0,39.0,47.0,55.0,62.0,73.0
"('Fvasconcellos', '2007')",support,1.0,2.0,2.0,4.0,6.0,8.0,10.0,12.0,15.0,19.0,23.0,29.0,35.0,42.0,49.0,57.0,64.0,76.0
"('Gaius Cornelius', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0,14.0,17.0,21.0,25.0,28.0,31.0,37.0
"('Garion96', '2007')",support,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,9.0,12.0,15.0,19.0,22.0,28.0,33.0,38.0,43.0,51.0
"('GDonato', '2007')",support,1.0,1.0,1.0,2.0,4.0,5.0,5.0,6.0,8.0,11.0,13.0,17.0,20.0,25.0,30.0,34.0,39.0,46.0
"('Geniac', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,7.0,9.0,10.0,13.0,16.0,19.0,21.0,22.0,25.0,28.0
"('Geometry guy', '2007')",support,1.0,1.0,2.0,4.0,5.0,6.0,8.0,10.0,14.0,17.0,21.0,27.0,32.0,40.0,47.0,55.0,61.0,71.0
"('Georgewilliamherbert', '2007')",support,0.0,1.0,2.0,3.0,4.0,7.0,9.0,10.0,15.0,20.0,24.0,30.0,37.0,45.0,51.0,58.0,66.0,79.0
"('Gilliam', '2007')",support,1.0,2.0,2.0,2.0,3.0,5.0,6.0,7.0,8.0,12.0,16.0,20.0,24.0,28.0,32.0,38.0,43.0,53.0
"('Gimmetrow', '2007')",support,1.0,2.0,2.0,4.0,6.0,8.0,9.0,10.0,14.0,18.0,21.0,23.0,29.0,36.0,42.0,50.0,57.0,68.0
"('GlassCobra', '2007')",support,1.0,1.0,2.0,3.0,5.0,6.0,8.0,10.0,13.0,16.0,19.0,24.0,29.0,35.0,41.0,47.0,53.0,60.0
"('Goodnightmush', '2007')",support,1.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,7.0,8.0,10.0,13.0,15.0,19.0,22.0,26.0,29.0,34.0
"('Graham87', '2007')",support,1.0,1.0,2.0,3.0,5.0,7.0,8.0,10.0,13.0,17.0,20.0,25.0,30.0,37.0,44.0,50.0,57.0,67.0
"('Grant65', '2007')",support,1.0,1.0,2.0,3.0,4.0,5.0,7.0,8.0,11.0,14.0,16.0,20.0,24.0,30.0,35.0,40.0,46.0,54.0
"('Greeves', '2007')",support,1.0,1.0,2.0,3.0,4.0,5.0,7.0,8.0,10.0,12.0,14.0,17.0,20.0,26.0,31.0,34.0,39.0,45.0
"('Haemo', '2007')",support,1.0,2.0,3.0,6.0,9.0,12.0,14.0,17.0,23.0,29.0,35.0,44.0,52.0,64.0,75.0,86.0,98.0,114.0
"('Harryboyles', '2007')",support,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,5.0,6.0,7.0,9.0,12.0,13.0,16.0,19.0,22.0,25.0
"('Hbdragon88', '2007')",support,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,13.0,16.0,20.0,23.0,29.0,34.0,39.0,44.0,51.0
"('Heimstern', '2007')",support,1.0,1.0,2.0,3.0,4.0,5.0,7.0,8.0,11.0,14.0,17.0,22.0,26.0,33.0,39.0,45.0,51.0,59.0
"('Heligoland', '2007')",support,1.0,2.0,3.0,5.0,7.0,10.0,12.0,14.0,19.0,24.0,29.0,34.0,41.0,51.0,57.0,67.0,77.0,88.0
"('Hemlock Martinis', '2007')",support,1.0,1.0,2.0,3.0,4.0,6.0,7.0,7.0,9.0,11.0,13.0,15.0,18.0,23.0,26.0,31.0,33.0,40.0
"('Henrik', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,17.0,21.0,25.0,29.0,32.0,38.0
"('Herbythyme', '2007')",support,1.0,2.0,3.0,4.0,7.0,9.0,11.0,13.0,18.0,22.0,27.0,32.0,39.0,48.0,57.0,66.0,75.0,88.0
"('Hex', '2007')",support,1.0,2.0,2.0,4.0,4.0,7.0,7.0,9.0,12.0,15.0,15.0,19.0,26.0,38.0,53.0,65.0,81.0,97.0
"('Hiberniantears', '2007')",support,0.0,1.0,1.0,2.0,3.0,4.0,5.0,5.0,9.0,12.0,14.0,18.0,25.0,34.0,43.0,52.0,61.0,75.0
"('Hit bull, win steak', '2007')",support,1.0,2.0,4.0,6.0,9.0,12.0,16.0,19.0,25.0,31.0,38.0,47.0,56.0,68.0,80.0,93.0,105.0,124.0
"('Hu12', '2007')",support,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,12.0,13.0,15.0,20.0,25.0,30.0,35.0,41.0,47.0,51.0
"('Hut 8.5', '2007')",support,1.0,1.0,2.0,3.0,5.0,6.0,8.0,9.0,13.0,16.0,19.0,24.0,28.0,35.0,41.0,47.0,54.0,63.0
"('Ikiroid', '2007')",support,0.0,1.0,1.0,2.0,2.0,4.0,6.0,7.0,10.0,13.0,15.0,19.0,24.0,28.0,33.0,37.0,42.0,46.0
"('Ioeth', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,6.0,7.0,8.0,10.0,12.0,15.0,19.0,22.0,26.0,30.0,33.0,40.0
"('Iridescent', '2007')",support,1.0,2.0,3.0,4.0,6.0,8.0,10.0,13.0,17.0,21.0,25.0,32.0,38.0,46.0,55.0,63.0,70.0,83.0
"('Irishguy', '2007')",support,1.0,2.0,2.0,4.0,6.0,8.0,10.0,12.0,15.0,19.0,23.0,29.0,35.0,42.0,50.0,57.0,64.0,76.0
"('Isotope23', '2007')",support,1.0,2.0,2.0,4.0,6.0,8.0,10.0,12.0,16.0,20.0,24.0,30.0,36.0,45.0,53.0,61.0,69.0,81.0
"('JÃ©skÃ© Couriano', '2007')",support,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,13.0,15.0,19.0,23.0,28.0,33.0,38.0,43.0,50.0
"('J Milburn', '2007')",support,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,6.0,12.0,20.0,28.0,36.0,44.0,55.0
"('James086', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,11.0,13.0,16.0,20.0,24.0,29.0,33.0,37.0,44.0
"('Jaranda (reconfirmation)', '2007')",support,1.0,2.0,3.0,5.0,8.0,10.0,13.0,15.0,20.0,25.0,30.0,38.0,44.0,55.0,63.0,70.0,76.0,82.0
"('Jayvdb', '2007')",support,1.0,1.0,2.0,3.0,4.0,5.0,7.0,8.0,11.0,14.0,16.0,20.0,24.0,30.0,35.0,40.0,46.0,54.0
"('Jehochman', '2007')",support,1.0,2.0,2.0,4.0,6.0,8.0,10.0,12.0,16.0,20.0,23.0,29.0,35.0,42.0,49.0,55.0,63.0,72.0
"('Jerry', '2007')",support,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,7.0,8.0,9.0,11.0,14.0,17.0,20.0,24.0,27.0,30.0
"('Jersey Devil', '2007')",support,0.0,1.0,2.0,3.0,5.0,7.0,10.0,12.0,16.0,20.0,25.0,30.0,35.0,40.0,46.0,51.0,56.0,67.0
"('Jersyko', '2007')",support,1.0,2.0,3.0,5.0,7.0,9.0,11.0,14.0,18.0,23.0,27.0,34.0,41.0,50.0,59.0,68.0,77.0,89.0
"('Jesse Viviano', '2007')",support,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,13.0,15.0,19.0,22.0,27.0,32.0,37.0,42.0,50.0
"('JForget', '2007')",support,0.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,7.0,15.0,23.0,33.0,44.0,54.0,64.0,80.0
"('JHunterJ', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0,14.0,17.0,21.0,25.0,28.0,32.0,38.0
"('Jj137', '2007')",support,1.0,1.0,2.0,2.0,4.0,5.0,6.0,8.0,10.0,11.0,13.0,17.0,19.0,25.0,27.0,32.0,35.0,43.0
"('Jmlk17', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,13.0,16.0,19.0,23.0,27.0,32.0,35.0,40.0
"('JodyB', '2007')",support,0.0,0.0,1.0,2.0,4.0,5.0,7.0,8.0,9.0,11.0,13.0,16.0,18.0,22.0,25.0,30.0,36.0,44.0
"('Jogers', '2007')",support,1.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,8.0,11.0,13.0,17.0,20.0,23.0,27.0,31.0,36.0,43.0
"('John Reaves', '2007')",support,1.0,1.0,2.0,3.0,5.0,6.0,8.0,9.0,13.0,16.0,19.0,24.0,27.0,32.0,37.0,42.0,48.0,54.0
"('Jon513', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,5.0,5.0,6.0,8.0,11.0,14.0,17.0,21.0,25.0,30.0,34.0,40.0
"('Jreferee', '2007')",support,2.0,4.0,5.0,9.0,13.0,18.0,22.0,24.0,31.0,34.0,38.0,43.0,50.0,66.0,84.0,100.0,118.0,144.0
"('Kafziel', '2007')",support,1.0,2.0,3.0,5.0,8.0,9.0,11.0,14.0,19.0,24.0,29.0,37.0,44.0,54.0,64.0,74.0,83.0,97.0
"('Kaiser matias', '2007')",support,1.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,6.0,7.0,8.0,10.0,12.0,15.0,19.0,22.0,26.0,30.0
"('Kane5187', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,18.0,21.0,25.0,29.0,33.0,39.0
"('Kathryn NicDhÃ\xa0na', '2007')",support,1.0,2.0,3.0,4.0,6.0,8.0,10.0,13.0,17.0,21.0,25.0,32.0,38.0,46.0,54.0,62.0,70.0,83.0
"('Keith D', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,6.0,6.0,7.0,8.0,10.0,13.0,14.0,17.0,21.0,24.0,26.0,33.0
"('KFP', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,9.0,11.0,13.0,16.0,19.0,24.0,28.0,32.0,37.0,43.0
"('Kicking222', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,18.0,21.0,25.0,29.0,33.0,39.0
"('KieferSkunk', '2007')",support,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,9.0,10.0,12.0,14.0,18.0,22.0,26.0,30.0,35.0,40.0
"('Kinu', '2007')",support,1.0,1.0,2.0,3.0,5.0,7.0,8.0,10.0,13.0,17.0,20.0,25.0,30.0,37.0,44.0,50.0,56.0,66.0
"('Kizor', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,9.0,11.0,13.0,16.0,19.0,23.0,26.0,30.0,34.0,39.0
"('KrakatoaKatie', '2007')",support,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,12.0,15.0,18.0,22.0,27.0,32.0,38.0,44.0,50.0,59.0
"('Kralizec!', '2007')",support,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,9.0,12.0,14.0,18.0,21.0,26.0,31.0,35.0,40.0,47.0
"('Krimpet', '2007')",support,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,8.0,9.0,12.0,15.0,19.0,23.0,26.0,30.0,35.0
"('Kubigula', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,18.0,21.0,25.0,29.0,33.0,39.0
"('Kurt Shaped Box', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,18.0,22.0,26.0,30.0,34.0,40.0
"('Kuru', '2007')",support,1.0,2.0,2.0,4.0,6.0,8.0,10.0,12.0,16.0,20.0,24.0,30.0,35.0,42.0,50.0,58.0,66.0,78.0
"('Kwsn', '2007')",support,1.0,1.0,2.0,4.0,6.0,7.0,9.0,12.0,15.0,18.0,18.0,23.0,29.0,36.0,45.0,55.0,62.0,72.0
"('LaraLove', '2007')",support,2.0,3.0,5.0,8.0,12.0,16.0,20.0,24.0,30.0,38.0,45.0,57.0,67.0,80.0,95.0,109.0,122.0,136.0
"('Leebo', '2007')",support,1.0,1.0,2.0,4.0,6.0,7.0,9.0,11.0,15.0,18.0,22.0,28.0,33.0,41.0,48.0,56.0,63.0,74.0
"('LessHeard vanU', '2007')",support,0.0,0.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,12.0,15.0,19.0,24.0,29.0,32.0,36.0,42.0,44.0
"('Lid', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0,14.0,17.0,21.0,25.0,28.0,32.0,38.0
"('Llama man', '2007')",support,1.0,1.0,2.0,2.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,17.0,20.0,26.0,29.0,35.0,39.0,45.0
"('Lradrama', '2007')",support,0.0,0.0,1.0,2.0,2.0,2.0,3.0,4.0,7.0,10.0,11.0,16.0,23.0,31.0,41.0,50.0,58.0,73.0
"('Lucasbfr', '2007')",support,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,12.0,14.0,17.0,22.0,26.0,32.0,38.0,44.0,49.0,58.0
"('Lyrl', '2007')",support,1.0,1.0,2.0,3.0,5.0,6.0,7.0,8.0,10.0,14.0,17.0,21.0,24.0,30.0,33.0,39.0,45.0,52.0
"('Madman', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,11.0,13.0,16.0,20.0,24.0,29.0,33.0,37.0,43.0
"('Magnus animum', '2007')",support,1.0,2.0,2.0,4.0,6.0,8.0,10.0,12.0,16.0,20.0,24.0,30.0,34.0,41.0,46.0,54.0,58.0,68.0
"('Mallanox', '2007')",support,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,13.0,16.0,20.0,23.0,28.0,33.0,38.0,43.0,51.0
"('Marasmusine', '2007')",support,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,9.0,12.0,14.0,18.0,21.0,26.0,31.0,35.0,39.0,46.0
"('markles', '2007')",support,1.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,6.0,7.0,9.0,12.0,14.0,18.0,20.0,23.0,26.0,30.0
"('Marskell', '2007')",support,1.0,1.0,2.0,3.0,5.0,8.0,9.0,12.0,17.0,22.0,26.0,33.0,41.0,48.0,56.0,65.0,75.0,90.0
"('Masamage', '2007')",support,1.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,7.0,8.0,10.0,13.0,15.0,19.0,22.0,26.0,29.0,34.0
"('Masem', '2007')",support,1.0,1.0,2.0,2.0,4.0,5.0,6.0,7.0,9.0,11.0,14.0,18.0,21.0,26.0,30.0,36.0,40.0,48.0
"('MastCell', '2007')",support,1.0,1.0,2.0,4.0,5.0,7.0,9.0,10.0,14.0,18.0,21.0,26.0,32.0,38.0,45.0,51.0,58.0,68.0
"('Mattbr', '2007')",support,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,10.0,12.0,15.0,18.0,22.0,27.0,32.0,37.0,42.0,49.0
"('MatthewUND', '2007')",support,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,8.0,10.0,12.0,15.0,18.0,23.0,27.0,31.0,36.0,42.0
"('Mattinbgn', '2007')",support,1.0,1.0,2.0,3.0,5.0,6.0,8.0,9.0,12.0,15.0,18.0,23.0,27.0,34.0,40.0,46.0,52.0,61.0
"('MaxSem', '2007')",support,1.0,2.0,2.0,4.0,6.0,8.0,9.0,11.0,15.0,19.0,22.0,28.0,34.0,41.0,49.0,56.0,64.0,75.0
"('Mecu', '2007')",support,1.0,2.0,2.0,3.0,4.0,6.0,8.0,8.0,10.0,10.0,11.0,15.0,16.0,23.0,30.0,41.0,50.0,65.0
"('Melburnian', '2007')",support,1.0,1.0,2.0,3.0,4.0,6.0,6.0,7.0,9.0,11.0,13.0,16.0,21.0,24.0,28.0,32.0,36.0,45.0
"('Meno25', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,18.0,22.0,26.0,30.0,34.0,40.0
"('Metropolitan90', '2007')",support,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,14.0,18.0,21.0,24.0,27.0,31.0
"('Michael Greiner', '2007')",support,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,5.0,7.0,9.0,10.0,12.0,14.0,16.0,19.0,23.0
"('Michaelas10', '2007')",support,1.0,2.0,2.0,4.0,6.0,8.0,10.0,12.0,16.0,20.0,25.0,31.0,37.0,45.0,53.0,61.0,68.0,77.0
"('MichaelBillington', '2007')",support,1.0,2.0,3.0,4.0,6.0,8.0,10.0,13.0,17.0,22.0,26.0,33.0,40.0,49.0,57.0,66.0,75.0,89.0
"('Mike Peel', '2007')",support,1.0,1.0,2.0,3.0,4.0,6.0,7.0,8.0,11.0,14.0,17.0,21.0,25.0,31.0,36.0,42.0,47.0,55.0
"('Mikeblas', '2007')",support,1.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,7.0,9.0,10.0,13.0,16.0,19.0,23.0,25.0,29.0,33.0
"('MJCdetroit', '2007')",support,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,10.0,12.0,14.0,18.0,22.0,26.0,30.0,35.0,40.0,47.0
"('monotonehell', '2007')",support,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,7.0,8.0,8.0,10.0,12.0,16.0,20.0,23.0,25.0,29.0
"('Moonriddengirl', '2007')",support,1.0,2.0,2.0,4.0,6.0,8.0,9.0,11.0,13.0,16.0,19.0,24.0,27.0,35.0,39.0,45.0,50.0,61.0
"('Moreschi', '2007')",support,2.0,4.0,6.0,6.0,10.0,13.0,18.0,22.0,28.0,37.0,46.0,60.0,70.0,85.0,100.0,114.0,128.0,142.0
