candidate,year,arm,tau_0.02,tau_0.05,tau_0.1,tau_0.15,tau_0.2,tau_0.3,tau_0.375,tau_0.5,tau_0.75,tau_1
Waggers,2007,support,1,2,4,5,7,11,14,17,26,35
Walton monarchist89,2007,support,2,4,7,10,14,21,27,35,56,68
Walton One,2007,support,3,6,15,22,29,45,52,69,96,124
Wassupwestcoast,2007,support,1,2,2,5,7,11,12,18,33,44
William Pietri,2007,support,1,4,7,11,14,21,26,33,48,64
WilyD,2007,support,1,2,4,7,8,12,15,20,30,39
Wimt,2007,support,2,4,8,12,16,24,30,40,59,78
Wizardman,2007,support,1,3,5,9,12,18,22,30,43,58
WJBscribe,2007,support,3,7,13,20,26,39,49,66,98,130
WODUP,2007,support,1,3,5,8,11,18,23,31,48,64
Woodym555,2007,support,1,3,6,9,12,17,22,29,44,58
Wrp103,2007,support,1,2,3,3,5,9,13,20,34,45
Xdamr,2007,support,1,2,5,7,9,14,18,24,35,47
xDanielx,2007,support,1,3,6,8,11,16,19,25,36,52
Xiner,2007,support,0,3,6,9,12,18,23,31,46,63
Xnuala,2007,support,1,2,4,6,8,12,15,20,30,38
Yamamoto Ichiro,2007,support,1,3,7,10,12,19,23,30,48,60
Yandman,2007,support,1,3,7,10,14,21,26,32,44,60
Yannismarou,2007,support,2,6,11,17,23,34,42,56,85,112
Yonatan,2007,support,1,3,5,8,11,16,20,26,40,53
Zzuuzz,2007,support,1,2,4,6,8,13,16,21,31,40
AgÃ¼eybanÃ¡,2007,support,2,4,8,11,15,15,18,22,28,33
AKMask,2007,support,2,5,10,15,21,31,38,44,62,70
Aktron,2007,support,1,1,3,4,6,6,8,11,12,14
Alex43223,2007,support,0,1,2,5,8,12,16,18,27,30
Amarkov,2007,support,2,4,9,11,11,14,17,22,29,34
Anthony cfc,2007,support,1,1,2,3,4,7,8,11,12,13
Anynobody,2007,support,0,1,3,4,4,6,8,8,10,13
Arkyan,2007,support,1,2,3,4,5,7,9,14,20,25
Badlydrawnjeff,2007,support,2,5,12,15,22,31,38,47,69,85
Barneca,2007,support,1,2,5,7,9,13,14,17,23,32
Ben,2007,support,2,5,10,11,13,18,21,25,40,53
Betacommand,2007,support,2,4,11,15,18,28,33,43,56,67
Billy,2007,support,0,0,0,1,2,2,2,4,6,7
Blueboy96,2007,support,0,1,3,4,4,7,10,11,21,24
Booksworm,2007,support,1,2,5,7,10,14,18,21,21,24
Booyabazooka,2007,support,0,0,0,1,2,5,5,10,17,24
Boricuaeddie,2007,support,1,2,4,6,7,11,13,16,21,25
BostonMA,2007,support,3,7,10,15,20,28,37,50,67,83
Budgiekiller,2007,support,2,4,7,13,16,21,29,39,57,67
Bushcarrot,2007,support,0,0,0,0,1,1,2,3,3,4
Captain panda,2007,support,2,4,7,13,17,21,26,39,64,77
Captmondo,2007,support,0,1,3,5,7,8,10,14,18,28
Chacor,2007,support,2,4,9,15,19,25,26,31,41,49
Chrishomingtang,2007,support,1,1,3,4,5,7,8,8,8,8
Clamster5,2007,support,1,1,2,3,3,4,5,7,10,12
Clawson,2007,support,1,3,5,8,10,15,19,25,31,35
Cobi,2007,support,2,9,16,24,35,55,71,94,139,174
Cometstyles,2007,support,1,3,3,7,13,23,31,45,55,66
Daniel.Cardenas,2007,support,0,0,0,0,0,0,1,1,6,7
Danielfolsom,2007,support,1,2,5,7,7,8,10,13,17,23
Dantheman531,2007,support,1,2,5,8,8,14,17,20,28,40
Dark Dragon Flame,2007,support,1,1,1,2,2,4,5,7,11,17
David.Mestel,2007,support,0,1,2,3,4,4,5,7,16,23
Davnel03,2007,support,0,0,0,0,0,0,0,1,2,2
Dev920,2007,support,4,8,16,25,30,35,40,52,74,100
Diez2,2007,support,1,2,4,6,8,13,16,19,24,31
Dihydrogen Monoxide,2007,support,3,6,13,16,19,24,28,36,47,54
Dream out loud,2007,support,1,1,1,2,4,5,6,9,16,17
Drmaik,2007,support,0,0,0,0,0,1,1,2,3,5
Errabee,2007,support,2,5,10,15,18,27,35,42,60,70
Eukesh,2007,support,0,2,3,4,4,5,8,13,24,32
Everyking,2007,support,2,3,5,8,10,16,19,23,38,53
Fan-1967,2007,support,1,3,7,8,11,13,17,20,23,26
Flameviper,2007,support,1,2,2,2,2,2,3,5,8,8
Froth,2007,support,0,1,5,5,8,10,13,22,38,56
Fyre2387,2007,support,1,1,3,4,6,7,8,10,14,15
Gay Cdn,2007,support,1,1,5,6,10,15,20,25,34,43
Gracenotes,2007,support,6,13,27,40,53,71,85,109,152,200
Grubber,2007,support,0,1,1,1,2,3,6,7,12,18
Gurch,2007,support,2,4,8,13,18,27,34,41,53,66
Hdt83,2007,support,0,1,4,6,10,21,29,38,67,97
Hersfold,2007,support,1,2,4,6,6,13,14,23,33,38
HisSpaceResearch,2007,support,0,0,1,2,3,3,4,4,5,7
Ibaranoff24,2007,support,1,1,1,2,3,3,3,6,13,24
Imdanumber1,2007,support,1,1,2,3,3,5,6,8,8,10
IronDuke,2007,support,1,2,3,5,7,7,8,13,17,21
Ishikawa Minoru,2007,support,0,0,1,2,3,3,3,6,11,17
IvoShandor,2007,support,2,5,5,8,11,18,23,30,45,60
Jakew,2007,support,1,1,2,2,3,3,6,11,23,28
Joebengo,2007,support,1,2,2,3,4,4,6,10,13,16
Jor,2007,support,1,1,3,3,3,6,6,7,11,13
JP06035,2007,support,1,2,4,4,4,5,5,7,9,10
Jrockley,2007,support,1,2,2,2,2,2,2,3,5,6
JuJube,2007,support,1,3,7,10,14,19,25,33,41,45
Karrmann,2007,support,0,1,4,5,6,8,9,11,15,17
KyraVixen,2007,support,1,2,3,6,9,15,19,24,34,41
Kyriakos,2007,support,1,1,4,7,11,14,16,20,29,44
Kzrulzuall,2007,support,1,2,3,5,7,9,9,11,17,19
Lankybugger,2007,support,1,1,2,3,3,5,5,7,9,13
Lincalinca,2007,support,1,2,4,5,8,11,13,18,25,28
Loom91,2007,support,0,0,1,1,1,4,5,5,11,13
Maelwys,2007,support,1,2,5,7,10,15,17,23,32,41
Magioladitis,2007,support,1,2,4,6,8,10,10,13,15,20
Majorly,2007,support,4,8,16,26,35,53,64,82,119,140
Malleus Fatuarum,2007,support,1,2,3,4,6,6,7,7,14,19
MatthewFenton,2007,support,1,1,1,1,2,4,4,4,5,5
Max Naylor,2007,support,0,0,2,2,2,3,6,8,21,36
Melsaran,2007,support,1,2,5,6,7,10,12,16,22,25
Member,2007,support,0,0,2,3,4,6,6,9,13,13
MER-C,2007,support,2,6,13,20,25,33,42,54,74,97
Mercury,2007,support,0,0,0,0,0,3,3,5,11,17
Michaelbusch,2007,support,1,3,6,9,11,16,19,21,26,28
N,2007,support,1,1,1,1,1,2,2,2,3,4
Natl1,2007,support,0,0,1,2,3,3,6,8,13,15
NHRHS2010,2007,support,1,1,3,4,4,4,5,6,11,14
Nima Baghaei,2007,support,0,0,0,0,0,0,1,2,5,5
OhanaUnited,2007,support,2,4,8,10,14,22,27,34,41,48
Otto4711,2007,support,1,1,1,1,1,1,1,1,1,1
Ozgod,2007,support,1,1,2,3,5,7,9,12,19,21
P.B. Pilhet,2007,support,0,0,0,0,0,1,1,1,1,2
PaxEquilibrium,2007,support,1,3,6,7,9,12,15,18,24,33
Peregrine Fisher,2007,support,1,2,3,5,5,6,6,6,9,13
PrestonH,2007,support,1,1,2,2,4,8,10,12,17,21
ProtectionBot,2007,support,2,8,18,29,38,56,72,94,141,181
Pupster21,2007,support,0,0,2,3,3,4,4,6,6,7
R,2007,support,4,10,20,30,37,50,61,79,111,141
Reaper X,2007,support,0,1,1,2,2,3,4,6,10,12
Remember the dot,2007,support,2,4,7,11,15,23,28,34,44,58
Retiono Virginian,2007,support,1,1,1,1,1,1,2,3,6,6
RevRagnarok,2007,support,0,0,1,5,7,11,12,17,27,38
Rudget,2007,support,1,3,5,8,11,15,19,24,32,38
RyanLupin,2007,support,1,2,2,3,3,3,4,6,9,11
Scharks,2007,support,0,0,1,2,2,3,5,6,11,15
Scott5114,2007,support,1,2,2,4,6,6,8,11,14,17
Serpent's Choice,2007,support,0,1,4,5,8,11,13,15,23,31
shoeofdeath,2007,support,1,2,2,3,3,4,4,7,15,18
Simply south,2007,support,1,2,5,7,9,13,16,18,28,31
Siva1979,2007,support,3,7,13,19,24,30,34,40,57,67
SJP,2007,support,1,2,2,4,6,8,10,12,13,13
Skully Collins,2007,support,0,0,0,1,2,2,4,7,11,13
Slgrandson,2007,support,1,2,5,8,11,16,20,26,36,41
Smcafirst,2007,support,0,0,0,0,1,2,2,5,7,12
SMcCandlish,2007,support,1,2,5,7,10,14,18,23,28,29
Soman,2007,support,1,2,4,7,7,7,7,9,11,20
Somitho,2007,support,1,1,2,2,2,3,3,5,7,10
Sony-youth,2007,support,1,3,5,5,6,9,13,17,21,31
SorryGuy,2007,support,0,0,2,5,6,8,8,12,21,27
Spartan-James,2007,support,0,0,0,0,0,1,1,4,9,10
Stormtracker94,2007,support,0,0,0,1,1,1,1,1,1,2
Stwalkerster,2007,support,1,2,5,6,7,8,11,14,21,32
SunStar Net,2007,support,1,1,2,2,2,2,4,5,8,9
Superbfc,2007,support,0,0,0,0,1,2,4,5,7,11
T-dot,2007,support,1,2,4,7,9,10,10,13,19,27
Tanner-Christopher,2007,support,0,0,0,1,3,5,5,7,15,19
Tarret,2007,support,0,0,2,2,4,5,7,9,14,17
TeckWiz,2007,support,1,3,3,3,5,14,25,39,57,72
TempDeletionBot,2007,support,1,4,7,10,12,17,21,27,31,36
TenPoundHammer,2007,support,2,6,8,11,16,22,29,46,69,80
The Haunted Angel,2007,support,1,3,6,9,12,19,23,30,32,36
The Transhumanist,2007,support,4,8,15,21,24,29,35,49,75,96
TheFearow,2007,support,0,1,4,5,7,8,10,15,26,32
TheIslander,2007,support,1,3,5,7,10,12,13,15,20,31
Thumperward,2007,support,0,1,4,7,9,11,14,16,21,23
Tiptoety,2007,support,0,1,1,1,1,6,8,11,16,19
tjstrf,2007,support,1,3,6,9,12,17,22,29,44,51
TomasBat,2007,support,1,2,4,6,6,8,8,9,10,11
TomStar81,2007,support,2,2,3,6,8,13,17,24,34,48
TonyTheTiger,2007,support,3,7,12,14,17,22,24,34,58,69
VanTucky,2007,support,3,7,13,20,26,39,49,62,75,82
Veesicle,2007,support,0,0,1,1,1,2,3,7,11,15
Vishwin60,2007,support,1,1,3,4,5,7,8,11,17,17
Wandalstouring,2007,support,0,0,0,0,1,2,3,4,7,11
Wantok,2007,support,1,1,1,1,1,3,4,6,10,16
Wenli,2007,support,1,2,4,6,8,9,11,13,15,19
Werdna,2007,support,3,11,23,36,48,71,88,111,145,177
Wikidudeman,2007,support,2,4,8,11,15,23,28,32,44,55
Wikihermit,2007,support,1,1,2,2,2,9,13,19,28,30
WikipedianProlific,2007,support,2,5,10,14,19,22,27,35,51,66
Wildnox,2007,support,1,1,3,3,3,5,6,8,9,11
Wildthing61476,2007,support,0,0,0,1,1,1,2,2,4,6
Wisdom89,2007,support,0,0,0,1,3,4,4,5,7,12
Wizardry Dragon,2007,support,1,2,5,7,10,13,15,19,19,21
Yao Ziyuan,2007,support,1,2,5,9,13,20,25,31,42,47
Yonidebest,2007,support,0,0,0,0,1,1,2,4,10,13
Yuser31415,2007,support,1,1,1,1,1,2,4,5,5,6
(aeropagitica),2006,support,1,3,4,5,5,8,12,16,25,36
Aaron Brenneman,2006,support,2,5,12,17,23,37,48,62,84,106
Adambiswanger1,2006,support,1,4,7,10,14,21,26,34,52,69
Admrboltz,2006,support,1,1,3,4,5,8,8,12,18,24
Aecis,2006,support,1,2,5,7,8,13,17,22,32,43
Agathoclea,2006,support,1,3,7,8,11,18,23,31,46,61
Aguerriero,2006,support,1,3,5,8,11,15,19,26,37,50
Aksi great,2006,support,1,4,7,10,14,21,26,34,53,71
Aldux,2006,support,1,3,5,7,9,11,14,21,34,47
Alex9891,2006,support,1,3,7,10,14,19,22,28,40,54
Alex Bakharev,2006,support,2,8,15,21,28,45,56,71,110,154
Alphachimp,2006,support,3,7,14,21,28,40,51,68,102,134
Amalas,2006,support,1,2,5,6,8,12,16,22,34,45
Ambush Commander,2006,support,1,3,6,9,12,18,22,30,43,58
AmiDaniel,2006,support,3,9,17,26,34,51,63,84,125,166
Andrew Levine,2006,support,0,2,5,10,14,19,23,32,48,65
AndyZ,2006,support,1,3,7,10,13,20,25,33,50,66
AnonEMouse,2006,support,1,3,7,10,14,21,26,34,52,66
Anonymous editor,2006,support,2,5,9,14,19,28,35,47,69,89
Art LaPella,2006,support,1,3,6,8,11,17,22,28,37,50
Arthur Rubin,2006,support,2,5,10,15,20,30,37,50,72,98
Ashibaka,2006,support,1,4,7,11,14,21,27,36,53,70
Asterion,2006,support,2,4,8,12,16,23,29,39,57,77
Atlant,2006,support,1,2,3,5,7,11,15,20,32,44
Aude,2006,support,1,3,7,10,14,21,26,34,51,68
Avraham,2006,support,1,3,6,9,12,18,23,31,46,61
AYArktos,2006,support,1,3,6,10,13,20,24,32,49,65
Babajobu,2006,support,1,4,7,11,14,21,27,35,52,68
Banes,2006,support,1,4,6,8,11,18,24,31,45,61
Banno,2006,support,1,1,2,2,4,6,8,12,19,24
Bastique,2006,support,2,5,9,13,17,25,30,42,63,82
Bbatsell,2006,support,1,3,5,8,11,16,20,26,39,51
Ben W Bell,2006,support,1,3,5,8,11,15,19,26,37,50
Betacommand,2006,support,2,4,8,10,14,21,27,37,53,71
Blnguyen,2006,support,3,8,16,24,32,49,61,80,121,160
Bobet,2006,support,1,3,6,10,13,19,24,32,48,64
Bobo192,2006,support,1,2,3,4,6,8,10,15,24,33
Bookofjude,2006,support,3,7,13,20,27,40,50,67,100,134
Borisblue,2006,support,0,1,3,6,8,13,17,22,35,47
BrownHairedGirl,2006,support,2,4,7,10,13,18,23,30,50,67
Buchanan-Hermit,2006,support,2,4,8,12,16,23,29,39,51,64
Bucketsofg,2006,support,2,5,10,16,21,30,38,51,77,102
Cactus.man,2006,support,2,4,8,11,15,23,28,37,56,74
Can't sleep, clown will eat me,2006,support,9,15,31,48,63,87,107,159,260,356
Canadian-Bacon,2006,support,2,5,10,14,19,29,36,48,73,97
CanadianCaesar,2006,support,1,2,6,9,11,18,22,30,43,59
Cantthinkofagoodname,2006,support,1,3,5,8,10,16,20,27,42,56
Carnildo,2006,support,6,10,19,27,33,48,61,83,130,171
CBDunkerson,2006,support,2,6,11,16,22,33,41,55,82,110
Cbrown1023,2006,support,1,2,5,7,10,15,18,24,36,48
Centrx,2006,support,1,3,6,8,10,15,19,25,38,51
Ceyockey,2006,support,1,2,5,7,10,15,18,24,36,48
Chairboy,2006,support,2,4,8,12,15,23,29,38,58,77
Chaser,2006,support,0,2,4,7,9,15,19,25,38,48
Chick Bowen,2006,support,1,3,6,9,12,17,22,29,44,58
Cholmes75,2006,support,2,4,7,12,16,24,26,32,43,62
ChrisGriswold,2006,support,1,3,6,9,12,19,22,30,45,60
Christopher Sundita,2006,support,2,4,5,10,11,18,21,30,51,68
Circeus,2006,support,1,3,6,9,13,19,24,32,47,63
Cohesion,2006,support,1,2,4,6,7,11,14,18,28,37
Conscious,2006,support,1,4,7,11,15,22,27,36,55,73
Consumed Crustacean,2006,support,2,4,8,11,12,17,23,32,45,59
Coredesat,2006,support,2,4,8,11,15,22,28,38,56,74
Cowman109,2006,support,2,5,10,14,16,20,26,38,61,83
Crazycomputers,2006,support,1,3,6,10,12,19,21,26,40,54
Crzrussian,2006,support,6,16,30,46,60,90,113,148,215,274
Cuivienen,2006,support,2,4,5,9,14,21,27,37,55,71
Cyde,2006,support,3,7,12,16,22,33,40,54,76,103
DaGizza,2006,support,2,4,9,14,18,27,34,44,65,87
DakotaKahn,2006,support,2,4,8,12,16,25,31,41,62,82
Dalbury,2006,support,1,4,7,11,14,22,27,36,53,71
Daveydweeb,2006,support,1,3,7,10,14,21,26,34,51,68
David Kernow,2006,support,1,2,4,6,9,13,16,22,31,42
Davidruben,2006,support,1,3,6,8,9,14,18,24,34,47
Deckiller,2006,support,1,4,7,11,14,21,27,36,53,69
Deepujoseph,2006,support,2,4,8,12,15,23,29,38,57,75
Deiz,2006,support,1,4,7,10,13,19,24,32,45,58
Deskana,2006,support,1,3,6,9,12,17,21,29,41,54
Deville,2006,support,1,4,7,11,15,22,27,36,54,72
Dijxtra,2006,support,1,3,7,9,13,19,24,32,49,65
Dina,2006,support,2,5,10,15,20,30,37,49,71,96
Doug Bell,2006,support,2,4,9,12,16,23,29,40,61,78
Dsmdgold,2006,support,1,1,2,4,6,11,13,18,25,32
Duja,2006,support,2,4,9,13,18,27,33,44,67,89
Durova,2006,support,2,4,8,12,16,24,30,40,61,80
Dustimagic,2006,support,1,3,5,7,8,12,16,23,34,46
DVD R W,2006,support,1,4,7,11,14,22,27,36,54,72
Eagle 101,2006,support,1,3,7,10,13,20,25,33,48,62
Edgar181,2006,support,1,4,7,11,15,22,27,36,55,73
Elf-friend,2006,support,1,3,5,8,10,16,20,26,38,51
Encephalon,2006,support,2,5,11,17,22,34,43,57,87,116
ERcheck,2006,support,1,3,6,10,13,20,24,32,49,65
ESkog,2006,support,2,4,9,13,18,26,33,44,66,87
Essexmutant,2006,support,1,2,3,4,6,9,11,15,19,27
EurekaLott,2006,support,1,2,3,4,6,8,9,12,20,25
EVula,2006,support,1,3,6,9,12,18,23,30,46,61
EWS23,2006,support,2,4,9,13,18,26,33,44,66,88
Extraordinary Machine,2006,support,1,4,7,10,14,21,26,35,51,69
Ezeu,2006,support,1,3,6,8,9,12,12,15,23,37
Fang Aili,2006,support,2,5,10,14,19,28,35,46,65,88
Femto,2006,support,1,2,2,4,6,8,8,10,20,26
Fir0002,2006,support,1,3,6,8,12,19,24,32,48,63
Firsfron,2006,support,1,3,6,9,12,18,22,30,45,59
FloNight,2006,support,2,5,9,14,18,28,34,46,68,87
Flowerparty,2006,support,1,3,6,9,12,18,23,30,45,60
FrancisTyers,2006,support,1,3,6,9,12,17,22,29,44,58
Fred chessplayer,2006,support,1,3,5,7,10,14,16,23,36,48
Fropuff,2006,support,1,2,3,5,7,10,12,16,24,31
Future Perfect at Sunrise,2006,support,1,4,7,11,15,22,27,36,55,73
Ganeshk,2006,support,2,4,8,13,17,26,32,42,64,83
Gator1,2006,support,2,5,10,16,21,31,39,52,78,103
GeeJo,2006,support,1,2,4,7,9,14,17,22,34,45
Gflores,2006,support,2,4,9,13,18,27,33,44,67,89
GIen,2006,support,2,5,9,14,18,26,33,45,65,87
Ginkgo100,2006,support,1,2,5,7,9,13,16,22,32,44
Gnangarra,2006,support,1,3,6,9,11,18,23,32,47,64
Gogo Dodo,2006,support,1,4,7,10,13,20,22,30,46,63
Goldom,2006,support,1,3,5,8,11,16,20,27,37,51
Grandmasterka,2006,support,2,5,10,16,21,32,39,52,78,103
GRBerry,2006,support,2,4,9,13,17,26,33,44,64,86
Grendelkhan,2006,support,1,3,6,10,13,20,24,32,49,64
Gryffindor,2006,support,2,5,9,14,17,27,33,44,66,88
Guanaco,2006,support,2,4,8,12,15,21,24,33,46,63
Guinnog,2006,support,2,4,8,11,14,20,24,30,41,60
Gurch,2006,support,1,3,7,10,12,19,23,32,47,63
Gwernol,2006,support,2,4,9,13,17,26,32,43,64,86
Haukurth,2006,support,1,3,6,8,11,18,22,30,43,56
Heah,2006,support,1,3,5,8,9,13,17,22,31,40
HereToHelp,2006,support,1,4,7,11,15,21,26,35,54,71
Herostratus,2006,support,3,6,10,11,13,23,31,44,68,93
HighInBC,2006,support,0,0,3,4,6,10,10,20,22,22
Hoary,2006,support,1,3,6,10,13,19,24,32,48,64
Hoopydink,2006,support,2,5,10,14,19,28,36,48,70,93
Humus sapiens,2006,support,2,6,12,17,23,35,44,58,86,113
Husnock,2006,support,1,2,4,7,9,13,16,22,32,41
Husond,2006,support,2,4,8,13,17,25,32,42,62,82
Ian13,2006,support,1,1,3,5,7,15,20,30,42,56
IanManka,2006,support,1,3,6,8,11,16,20,27,40,51
Idont havaname,2006,support,1,3,6,9,12,18,23,30,45,58
Ilmari Karonen,2006,support,1,2,2,4,5,9,11,14,22,30
InShaneee,2006,support,1,2,5,7,9,14,17,23,33,44
Interiot,2006,support,2,5,11,16,21,32,40,54,80,107
Irongargoyle,2006,support,1,2,5,7,10,14,18,24,36,47
Ish ishwar,2006,support,1,2,3,6,6,10,13,18,28,40
J.smith,2006,support,1,2,5,7,10,15,18,24,37,48
J Di,2006,support,1,3,5,8,11,16,20,26,40,51
Jaranda,2006,support,4,11,21,26,33,45,51,73,116,148
JDoorjam,2006,support,1,3,5,7,10,15,19,26,40,53
Jedi6,2006,support,1,2,4,7,10,14,17,24,38,54
JLaTondre,2006,support,1,3,6,9,12,18,22,28,43,58
Joelr31,2006,support,1,3,6,10,13,19,24,32,48,61
Johan Elisson,2006,support,1,3,6,9,13,19,24,32,47,63
Joke137,2006,support,1,2,3,5,7,10,13,17,24,33
Jonathunder,2006,support,1,3,6,9,11,17,21,27,42,56
Joshbuddy,2006,support,2,5,11,15,19,27,33,42,64,86
JoshuaZ,2006,support,2,6,13,19,26,39,47,63,95,126
Josiah Rowe,2006,support,1,3,6,9,11,16,20,27,40,54
JPD,2006,support,2,5,9,14,19,28,34,45,69,92
Jusjih,2006,support,1,4,7,11,15,22,28,36,54,71
JzG,2006,support,2,5,10,15,20,29,37,49,74,97
Kaisershatner,2006,support,1,3,6,9,11,16,19,25,34,45
Kcordina,2006,support,1,2,4,7,9,14,17,22,33,44
Keenan Pepper,2006,support,1,4,7,11,15,22,28,37,56,74
Khoikhoi,2006,support,4,9,14,16,21,40,54,76,114,155
KillerChihuahua,2006,support,1,3,7,10,13,19,23,30,45,57
Kilo-Lima,2006,support,0,2,5,8,11,17,22,29,43,56
Kimchi.sg,2006,support,2,6,12,18,23,32,39,52,76,104
KimvdLinde,2006,support,2,5,9,14,19,26,33,44,67,87
King of Hearts,2006,support,1,4,7,11,15,22,27,36,54,72
Kingboyk,2006,support,1,3,6,8,11,15,19,25,38,51
Kjkolb,2006,support,2,4,9,13,18,26,33,44,66,88
Konstable,2006,support,1,2,5,7,9,14,18,24,34,46
Kpjas,2006,support,1,3,6,9,13,20,26,36,55,74
Kukini,2006,support,2,4,9,13,17,25,31,41,62,83
Kungfuadam,2006,support,1,3,6,8,11,17,21,28,41,55
Kusma,2006,support,2,4,8,12,16,24,30,40,60,80
Kylu,2006,support,3,7,15,21,26,37,45,58,82,110
Lar,2006,support,2,6,11,16,22,33,41,54,78,105
Larry V,2006,support,1,2,4,5,6,9,12,18,28,37
Laurascudder,2006,support,2,4,8,13,17,26,32,42,64,84
Lethe,2006,support,1,3,5,8,11,16,19,26,39,53
Lightdarkness,2006,support,3,7,12,18,24,36,44,59,91,123
Ligulem,2006,support,2,6,14,20,27,42,53,68,101,135
LiquidGhoul,2006,support,2,4,8,12,16,24,30,40,58,76
Lord Voldemort,2006,support,3,8,15,23,30,45,57,76,112,151
Lostintherush,2006,support,1,3,6,9,12,17,22,29,44,58
Luna Santin,2006,support,2,4,9,13,19,28,36,48,70,95
Makemi,2006,support,1,2,5,8,10,14,17,21,32,42
Mangojuice,2006,support,1,3,6,9,11,18,22,31,47,63
Mark83,2006,support,1,3,5,8,10,16,20,25,38,50
Martinp23,2006,support,1,2,2,3,5,8,10,13,18,26
Martyman,2006,support,2,4,8,11,15,23,28,38,57,75
Master Jay,2006,support,2,4,7,9,11,15,19,26,42,56
Mathwiz2020,2006,support,1,2,3,5,7,10,12,16,25,33
MCB,2006,support,1,2,5,7,10,15,18,24,37,49
Mdd4696,2006,support,1,2,4,6,8,13,16,21,32,42
Meegs,2006,support,1,2,4,7,10,15,20,26,40,54
Melchoir,2006,support,1,4,7,11,15,22,27,36,55,72
Merope,2006,support,1,3,6,10,13,20,24,32,50,65
Messedrocker,2006,support,1,2,6,8,10,13,22,38,71,102
Metamagician3000,2006,support,1,3,5,7,10,14,18,25,37,51
Metros232,2006,support,1,4,7,11,14,22,27,36,53,71
Mets501,2006,support,2,4,5,7,7,15,23,37,63,88
Mike 7,2006,support,1,3,5,8,10,16,20,25,37,49
Mike Selinker,2006,support,1,3,6,9,12,18,22,30,43,57
MisfitToys,2006,support,1,3,6,10,13,17,19,26,39,52
Misza13,2006,support,3,6,13,19,26,39,48,64,97,129
MPF,2006,support,2,4,8,11,15,21,27,37,55,73
Mr. Lefty,2006,support,2,4,9,14,16,25,29,42,72,99
MrDarcy,2006,support,1,3,6,9,12,18,22,30,45,60
Mtz206,2006,support,1,3,5,6,8,14,18,22,32,41
Myleslong,2006,support,1,2,3,5,7,11,14,21,30,39
Naconkantari,2006,support,1,3,7,11,14,26,34,45,68,95
Nae'blis,2006,support,2,5,10,15,20,30,38,50,75,100
Natalya,2006,support,2,5,10,15,19,29,36,48,71,93
NawlinWiki,2006,support,1,2,6,9,12,18,23,30,46,61
NCurse,2006,support,2,5,10,14,19,29,36,46,68,91
Netsnipe,2006,support,1,4,6,9,12,19,24,31,48,65
Nightstallion,2006,support,1,3,6,8,11,16,21,29,42,54
Nihonjoe,2006,support,2,4,8,11,15,22,28,38,56,72
Nishkid64,2006,support,1,4,7,11,14,21,26,34,48,59
Nixdorf,2006,support,1,2,3,4,4,7,9,11,21,28
No Guru,2006,support,1,3,6,10,13,20,24,32,49,65
NoSeptember,2006,support,1,2,5,7,9,13,16,21,32,44
Obli,2006,support,1,2,4,7,9,13,16,22,31,42
Ohnoitsjamie,2006,support,1,3,5,6,6,8,12,16,22,24
Olessi,2006,support,1,3,4,5,8,13,17,24,34,45
Opabinia regalis,2006,support,2,4,8,12,16,24,30,40,59,79
Oscarthecat,2006,support,2,5,10,14,18,24,27,32,53,75
Osgoodelawyer,2006,support,1,2,5,8,10,16,20,27,41,55
Pagrashtak,2006,support,1,3,5,8,11,16,20,27,39,52
Paolo Liberatore,2006,support,1,2,5,7,9,14,18,24,35,47
Pepsidrinka,2006,support,2,4,8,12,16,25,31,41,62,80
Peruvianllama,2006,support,2,4,8,11,15,23,29,39,58,78
Petros471,2006,support,2,4,8,13,17,26,28,36,54,71
Pgk,2006,support,2,4,8,12,14,22,28,38,58,77
Phaedriel,2006,support,5,14,27,40,54,81,101,134,197,260
Philip Baird Shearer,2006,support,2,4,8,13,17,25,32,41,62,79
Physicq210,2006,support,1,3,6,8,11,17,21,28,41,52
Pilotguy,2006,support,2,6,12,18,23,34,43,57,85,114
Plange,2006,support,1,3,6,9,12,18,22,30,43,58
Prodego,2006,support,2,4,8,12,16,24,29,39,58,76
ProhibitOnions,2006,support,1,3,6,8,11,17,21,29,42,56
Proto,2006,support,4,10,19,25,32,45,53,73,125,173
PS2pcGAMER,2006,support,1,3,6,8,11,16,21,27,42,58
Pschemp,2006,support,2,4,8,11,16,23,29,40,58,79
Punkmorten,2006,support,1,3,5,8,11,16,20,27,40,52
Quarl,2006,support,2,4,8,13,17,25,30,39,59,79
R.Koot,2006,support,1,4,7,11,15,22,27,36,55,73
RadioKirk,2006,support,1,3,7,10,13,19,24,32,48,62
Rama's Arrow,2006,support,3,7,13,20,27,38,48,57,74,86
RasputinAXP,2006,support,1,3,5,8,11,16,20,27,39,51
Raven4x4x,2006,support,1,3,6,9,12,16,21,28,41,55
Redvers,2006,support,2,5,10,15,20,31,38,51,76,101
Renata3,2006,support,1,4,7,10,14,21,25,34,51,69
Renesis13,2006,support,1,2,4,6,8,12,15,17,23,27
RexNL,2006,support,1,2,5,6,9,14,17,23,33,46
ReyBrujo,2006,support,2,4,8,12,16,24,29,39,59,78
Richardcavell,2006,support,1,3,6,10,13,20,24,31,48,64
Robdurbar,2006,support,1,3,5,8,10,16,20,25,34,47
Robth,2006,support,1,3,6,9,11,16,19,25,38,50
Rockero,2006,support,1,3,5,6,9,13,17,23,36,52
Rockpocket,2006,support,1,1,4,6,9,12,15,20,32,41
